IndustryCode,Industry
4680,Other motor vehicle dealers
4690,"Auto parts, accessories, and tire stores"
4770,Furniture and home furnishings stores
4780,Household appliance stores
4795,"Radio, TV, and computer stores"
4870,Building material and supplies dealers
4880,Hardware stores
4890,Lawn and garden equipment and supplies stores
4970,Grocery stores
4980,Specialty food stores
4990,"Beer, wine, and liquor stores"
5070,Pharmacies and drug stores
5080,"Health and personal care, except drug, stores"
5090,Gasoline stations
5170,Clothing stores
5180,Shoe stores
5190,"Jewelry, luggage, and leather goods stores"
5275,"Sporting goods, camera, and hobby and toy stores"
5280,"Sewing, needlework and piece goods stores"
5295,Music stores
5370,Book stores and news dealers
5380,Department stores and discount stores
5390,Miscellaneous general merchandise stores
5470,Retail florists
5480,Office supplies and stationery stores
5490,Used merchandise stores
5570,"Gift, novelty, and souvenir shops"
5580,Miscellaneous retail stores
5590,Electronic shopping
5591,Electronic auctions
5592,Mail order houses
5670,Vending machine operators
5680,Fuel dealers
5690,Other direct selling establishments
5790,Not specified retail trade
